w_val_rec,q2_val_rec,rec_events,weight_rec
2.225,3.25,1545,3914.35843
2.225,3.85,2417,3183.77976
2.225,4.6,2944,1903.18741
2.225,5.5,3722,1143.13751
2.225,6.5,3474,507.08540
2.225,7.5,3088,223.56081
2.225,8.5,2613,103.70945
2.225,9.5,1987,44.97439
2.225,10.5,928,14.70734
2.275,2.2,756,7266.87763
2.275,2.7,1635,7299.80626
2.275,3.25,1624,3913.37416
2.275,3.85,2481,3073.76719
2.275,4.6,2930,1837.71862
2.275,5.5,3731,1137.42010
2.275,6.5,3340,460.65610
2.275,7.5,3046,210.55019
2.275,8.5,2558,100.38954
2.275,9.5,2037,47.85754
2.275,10.5,679,11.90321
2.325,2.2,810,7304.42933
2.325,2.7,1663,7608.44546
2.325,3.25,1713,4163.93552
2.325,3.85,2533,3168.48524
2.325,4.6,2939,1858.85487
2.325,5.5,3670,1094.88819
2.325,6.5,3508,511.35344
2.325,7.5,3076,224.60399
2.325,8.5,2549,101.28480
2.325,9.5,1965,44.18413
2.325,10.5,495,7.70849
2.375,2.2,823,6984.39242
2.375,2.7,1708,8133.87004
2.375,3.25,1571,3718.82114
2.375,3.85,2595,3361.06328
2.375,4.6,2999,1880.52274
2.375,5.5,3734,1111.16980
2.375,6.5,3425,492.03689
2.375,7.5,2970,205.54003
2.375,8.5,2417,92.11708
2.375,9.5,1909,40.71624
2.375,10.5,242,3.45796
2.425,2.2,835,7510.16098
2.425,2.7,1763,7713.92557
2.425,3.25,1765,4199.48175
2.425,3.85,2621,3404.52613
2.425,4.6,3012,1905.57070
2.425,5.5,3806,1105.85282
2.425,6.5,3462,471.60455
2.425,7.5,3095,224.97834
2.425,8.5,2448,94.13176
2.425,9.5,1770,39.10168
2.425,10.5,76,1.06357
