w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.5750000000000002,10.5,34730,0.01957,1412,0.00099,0.0,0.15438,0.90281,0.74424,0.13937,0.11489,0.00096,0.00079,0.00106
1.625,2.2,13948,11.68158,371,0.34215,0.00021,3.93305,1.38479,1.40808,5.44644,5.53806,0.05873,0.05972,0.04241
1.625,2.7,20861,7.85187,882,0.3408,0.00014,2.78518,1.31678,1.30626,3.66746,3.63817,0.03257,0.03231,0.02474
1.625,3.25,17558,3.0722,1039,0.20161,9e-05,1.98612,1.25573,1.21703,2.49402,2.41716,0.02389,0.02315,0.01902
1.625,3.85,24178,2.0703,1524,0.14192,6e-05,1.45717,1.20075,1.13847,1.74969,1.65894,0.01439,0.01364,0.01198
1.625,4.6,28070,1.08479,2001,0.08299,4e-05,1.02142,1.14412,1.05938,1.16864,1.08207,0.00893,0.00827,0.0078
1.625,5.5,35020,0.60146,2870,0.05292,2e-05,0.7174,1.0887,0.9838,0.78104,0.70578,0.00539,0.00487,0.00495
1.625,6.5,34991,0.26738,2917,0.02459,2e-05,0.49666,1.03836,0.91677,0.51571,0.45533,0.00356,0.00315,0.00343
1.625,7.5,34907,0.13224,2770,0.01136,1e-05,0.36346,0.99647,0.8622,0.36218,0.31338,0.00249,0.00216,0.0025
1.625,8.5,35017,0.07054,2412,0.0052,1e-05,0.27373,0.96082,0.81663,0.263,0.22353,0.00181,0.00154,0.00189
1.625,9.5,34874,0.03953,2043,0.00266,1e-05,0.21094,0.92994,0.77782,0.19616,0.16407,0.00135,0.00113,0.00145
1.625,10.5,35522,0.02417,1549,0.00129,0.0,0.16861,0.90281,0.74424,0.15222,0.12549,0.00104,0.00086,0.00115
1.6749999999999998,2.2,14078,15.54485,405,0.44194,0.00023,4.9008,1.38479,1.40808,6.78657,6.90073,0.07213,0.07334,0.05208
1.6749999999999998,2.7,21050,10.55388,1019,0.50181,0.00014,3.48636,1.31678,1.30626,4.59076,4.5541,0.04052,0.0402,0.03077
1.6749999999999998,3.25,17584,4.16295,1130,0.26062,9e-05,2.51303,1.25573,1.21703,3.15569,3.05843,0.03021,0.02928,0.02406
1.6749999999999998,3.85,24439,2.87163,1723,0.19426,6e-05,1.86209,1.20075,1.13847,2.2359,2.11992,0.01831,0.01736,0.01525
1.6749999999999998,4.6,27679,1.49243,2147,0.1119,4e-05,1.32155,1.14412,1.05938,1.51202,1.40002,0.0116,0.01074,0.01014
1.6749999999999998,5.5,34811,0.85567,2930,0.06925,3e-05,0.94833,1.0887,0.9838,1.03244,0.93297,0.00714,0.00645,0.00656
1.6749999999999998,6.5,34894,0.38948,2979,0.0319,2e-05,0.66766,1.03836,0.91677,0.69327,0.6121,0.00479,0.00423,0.00461
1.6749999999999998,7.5,35096,0.19796,2867,0.01532,1e-05,0.49653,0.99647,0.8622,0.49478,0.42811,0.00339,0.00293,0.0034
1.6749999999999998,8.5,34809,0.10627,2537,0.00719,1e-05,0.37967,0.96082,0.81663,0.3648,0.31005,0.00251,0.00213,0.00261
1.6749999999999998,9.5,34955,0.06083,2071,0.0033,1e-05,0.29569,0.92994,0.77782,0.27497,0.22999,0.00189,0.00158,0.00203
1.6749999999999998,10.5,35071,0.03702,1642,0.00163,0.0,0.23832,0.90281,0.74424,0.21516,0.17737,0.00147,0.00121,0.00163
1.725,2.2,14269,19.20764,502,0.58612,0.00024,5.68571,1.38479,1.40808,7.87351,8.00595,0.08435,0.08577,0.06091
1.725,2.7,21009,13.2347,1077,0.63936,0.00015,4.14485,1.31678,1.30626,5.45785,5.41426,0.04872,0.04833,0.037
1.725,3.25,17417,5.14709,1168,0.31716,0.0001,2.95366,1.25573,1.21703,3.709,3.59469,0.03585,0.03475,0.02855
1.725,3.85,24690,3.67796,1904,0.26251,7e-05,2.21336,1.20075,1.13847,2.65769,2.51984,0.02177,0.02064,0.01813
1.725,4.6,28090,1.9462,2307,0.14158,4e-05,1.58541,1.14412,1.05938,1.81391,1.67955,0.01386,0.01283,0.01211
1.725,5.5,35084,1.1063,2991,0.08675,3e-05,1.13117,1.0887,0.9838,1.23151,1.11285,0.00846,0.00765,0.00777
1.725,6.5,34864,0.50641,3157,0.0416,2e-05,0.80492,1.03836,0.91677,0.83579,0.73793,0.00573,0.00506,0.00551
1.725,7.5,35017,0.25863,2908,0.01862,1e-05,0.60048,0.99647,0.8622,0.59836,0.51773,0.00407,0.00352,0.00408
1.725,8.5,35199,0.14221,2626,0.00874,1e-05,0.46281,0.96082,0.81663,0.44468,0.37795,0.003,0.00255,0.00313
1.725,9.5,34942,0.08246,2201,0.00423,1e-05,0.36849,0.92994,0.77782,0.34267,0.28662,0.00232,0.00194,0.00249
1.725,10.5,35279,0.05059,1629,0.00177,0.0,0.29687,0.90281,0.74424,0.26802,0.22095,0.0018,0.00149,0.002
1.775,2.2,13891,16.956,525,0.60738,0.00025,4.93692,1.38479,1.40808,6.83659,6.9516,0.07573,0.07701,0.05469
1.775,2.7,20893,12.09323,1165,0.65008,0.00016,3.62583,1.31678,1.30626,4.77442,4.73628,0.04373,0.04338,0.03321
1.775,3.25,17505,4.75279,1190,0.32562,0.00011,2.5709,1.25573,1.21703,3.22836,3.12886,0.0318,0.03082,0.02533
1.775,3.85,24366,3.34654,1911,0.25522,7e-05,1.92506,1.20075,1.13847,2.31151,2.19161,0.01933,0.01833,0.0161
1.775,4.6,28000,1.82299,2375,0.14848,5e-05,1.39938,1.14412,1.05938,1.60106,1.48247,0.01246,0.01154,0.01089
1.775,5.5,34960,1.03022,3318,0.09314,3e-05,0.98886,1.0887,0.9838,1.07657,0.97284,0.00753,0.00681,0.00692
1.775,6.5,34931,0.47102,3315,0.04324,2e-05,0.69638,1.03836,0.91677,0.72309,0.63842,0.00502,0.00443,0.00483
1.775,7.5,35224,0.24081,3025,0.02027,1e-05,0.51638,0.99647,0.8622,0.51456,0.44522,0.00353,0.00306,0.00355
1.775,8.5,34907,0.13148,2746,0.00953,1e-05,0.39977,0.96082,0.81663,0.38411,0.32647,0.00263,0.00223,0.00273
1.775,9.5,35179,0.0767,2201,0.00433,1e-05,0.31467,0.92994,0.77782,0.29263,0.24476,0.00199,0.00166,0.00214
1.775,10.5,34946,0.04655,1675,0.00211,1e-05,0.25434,0.90281,0.74424,0.22962,0.18929,0.00156,0.00129,0.00173
1.825,2.2,13993,16.7155,510,0.58416,0.00026,4.65201,1.38479,1.40808,6.44205,6.55042,0.07292,0.07414,0.05266
1.825,2.7,21027,11.77799,1181,0.66035,0.00017,3.35922,1.31678,1.30626,4.42335,4.38801,0.04098,0.04065,0.03112
1.825,3.25,17547,4.73243,1244,0.33375,0.00011,2.43285,1.25573,1.21703,3.055,2.96084,0.03057,0.02963,0.02434
1.825,3.85,24595,3.38511,2057,0.27877,8e-05,1.82988,1.20075,1.13847,2.19723,2.08326,0.01867,0.0177,0.01555
1.825,4.6,28054,1.81244,2556,0.15863,5e-05,1.31147,1.14412,1.05938,1.50049,1.38935,0.0119,0.01102,0.0104
1.825,5.5,35084,1.03487,3408,0.09757,3e-05,0.93094,1.0887,0.9838,1.01351,0.91586,0.00721,0.00651,0.00662
1.825,6.5,34823,0.47568,3258,0.04414,2e-05,0.66099,1.03836,0.91677,0.68634,0.60598,0.00485,0.00429,0.00467
1.825,7.5,35426,0.25008,3146,0.02192,1e-05,0.49802,0.99647,0.8622,0.49626,0.42939,0.00345,0.00299,0.00347
1.825,8.5,34685,0.13358,2724,0.0103,1e-05,0.38074,0.96082,0.81663,0.36582,0.31092,0.00254,0.00216,0.00265
1.825,9.5,34956,0.07834,2282,0.00501,1e-05,0.30054,0.92994,0.77782,0.27949,0.23377,0.00193,0.00161,0.00207
1.825,10.5,34957,0.04795,1657,0.00211,1e-05,0.24278,0.90281,0.74424,0.21918,0.18069,0.0015,0.00124,0.00166
1.875,2.2,13755,16.34916,538,0.65612,0.00027,4.47918,1.38479,1.40808,6.20272,6.30706,0.07481,0.07607,0.05402
1.875,2.7,20864,11.66443,1227,0.76742,0.00017,3.22604,1.31678,1.30626,4.24798,4.21405,0.04204,0.0417,0.03193
1.875,3.25,17508,4.76306,1276,0.37753,0.00012,2.34965,1.25573,1.21703,2.95052,2.85959,0.03182,0.03084,0.02534
1.875,3.85,24464,3.4073,2047,0.30937,8e-05,1.76532,1.20075,1.13847,2.1197,2.00976,0.01929,0.01829,0.01606
1.875,4.6,27818,1.84686,2533,0.17464,5e-05,1.27924,1.14412,1.05938,1.4636,1.35519,0.01235,0.01143,0.01079
1.875,5.5,34912,1.05927,3389,0.10932,3e-05,0.90511,1.0887,0.9838,0.98539,0.89044,0.00746,0.00674,0.00685
1.875,6.5,35129,0.50093,3364,0.04925,2e-05,0.64971,1.03836,0.91677,0.67463,0.59564,0.00505,0.00446,0.00487
1.875,7.5,35101,0.26215,3244,0.02467,2e-05,0.49453,0.99647,0.8622,0.49278,0.42638,0.00362,0.00314,0.00364
1.875,8.5,34980,0.1449,2699,0.0111,1e-05,0.38328,0.96082,0.81663,0.36827,0.313,0.0027,0.0023,0.00282
1.875,9.5,35008,0.08533,2170,0.00493,1e-05,0.30516,0.92994,0.77782,0.28378,0.23736,0.00208,0.00174,0.00224
1.875,10.5,34730,0.05217,1605,0.00215,1e-05,0.24765,0.90281,0.74424,0.22358,0.18431,0.00164,0.00135,0.00182
1.925,2.2,14010,16.39602,591,0.70667,0.00027,4.28699,1.38479,1.40808,5.93658,6.03644,0.0691,0.07027,0.0499
1.925,2.7,20867,11.91045,1359,0.81037,0.00018,3.18356,1.31678,1.30626,4.19205,4.15856,0.04002,0.0397,0.03039
1.925,3.25,17601,4.80383,1336,0.40371,0.00012,2.26732,1.25573,1.21703,2.84714,2.75939,0.02921,0.02831,0.02326
1.925,3.85,24416,3.46542,2154,0.31826,8e-05,1.72288,1.20075,1.13847,2.06875,1.96144,0.01822,0.01728,0.01518
1.925,4.6,27824,1.90766,2680,0.19368,5e-05,1.25967,1.14412,1.05938,1.44122,1.33447,0.01186,0.01098,0.01036
1.925,5.5,34928,1.11849,3456,0.11324,4e-05,0.90703,1.0887,0.9838,0.98748,0.89233,0.00731,0.0066,0.00671
1.925,6.5,35255,0.53962,3474,0.05378,2e-05,0.65962,1.03836,0.91677,0.68492,0.60472,0.00496,0.00438,0.00478
1.925,7.5,34738,0.27323,3133,0.02464,2e-05,0.49099,0.99647,0.8622,0.48926,0.42333,0.00355,0.00307,0.00356
1.925,8.5,34992,0.15425,2827,0.01194,1e-05,0.38342,0.96082,0.81663,0.3684,0.31312,0.00264,0.00225,0.00275
1.925,9.5,34817,0.09095,2186,0.00514,1e-05,0.30667,0.92994,0.77782,0.28518,0.23853,0.00205,0.00172,0.00221
1.925,10.5,35057,0.05701,1571,0.00221,1e-05,0.25082,0.90281,0.74424,0.22644,0.18667,0.00162,0.00134,0.00179
1.975,2.2,13851,16.55456,565,0.65787,0.00028,4.27319,1.38479,1.40808,5.91746,6.017,0.07079,0.07198,0.05112
