w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
1.4249999999999998,3.85,99427,2.83176,332,0.01604,5e-05,0.62469,1.20075,0.75009,0.005664321835183772,0.0033391332334275397,4.707265552073901e+35,3.5550680100248475e-07,2.848079495509268e-05,1.2397381546134666e+40,0.009363581228198387,208079.58284885302,0.006598160288205639
1.4249999999999998,4.6,113801,1.46519,1518,0.03066,3e-05,0.43868,1.14412,0.50191,0.020925613742927538,0.013339074349083048,1.904258673809947e+35,1.4381532163808977e-07,1.2875018672946635e-05,7.423418134377039e+39,0.005606811279740965,124595.8062164659,0.0039509070971735765
1.4249999999999998,5.5,142417,0.80015,3979,0.03392,2e-05,0.30171,1.0887,0.32847,0.042392051490345556,0.027939080306424093,1.4363155131481525e+35,1.0847485183506928e-07,5.618360167676612e-06,8.397228773584906e+39,0.006342317804822436,140940.3956627208,0.004469190628574354
1.4249999999999998,6.5,142011,0.35778,6248,0.02289,1e-05,0.20948,1.03836,0.21752,0.06397786349153112,0.04399659181331023,1.437146587987932e+35,1.0853761709749504e-07,2.5193823013710204e-06,1.2408125819134993e+40,0.009371696238017365,208259.9164003859,0.00660387862761244
1.4249999999999998,7.5,142281,0.17949,7740,0.01233,1e-05,0.15399,0.99647,0.15345,0.06869463479859603,0.05439939275096464,1.8973186856398533e+35,1.4329119293405734e-07,1.26151770088768e-06,2.3078832116788317e+40,0.0174311420821664,387358.7129370311,0.012283064210332036
1.4249999999999998,8.5,141941,0.09601,9363,0.00712,1e-05,0.11636,0.96082,0.1118,0.07415894177689823,0.06596402730712056,2.4122630700890435e+35,1.8218133600853736e-07,6.764078032421922e-07,3.987106741573034e+40,0.030114099256593908,669202.2057020868,0.02122026273788961
1.4249999999999998,10.0,283532,0.08836,22543,0.00768,0.0,0.08457,0.91596,0.07746,0.0869171570846537,0.07950778042690067,2.9706192443411648e+35,2.2435006754332486e-07,3.116403086776801e-07,7.383645833333333e+40,0.05576771777442094,1239282.6172093542,0.039297394000803974
1.4249999999999998,12.0,283453,0.03454,25304,0.00377,0.0,0.05593,0.86759,0.04852,0.10914881297046901,0.08927053162252649,3.776506064933163e+35,2.8521305527778585e-07,1.2185441678161813e-07,1.5037294429708222e+41,0.11357473134220711,2523882.9187157135,0.0800318023438519
1.4249999999999998,14.0,284534,0.01551,23998,0.00163,0.0,0.03947,0.82833,0.03269,0.10509348807221147,0.08434141438281541,5.821558533687907e+35,4.396615462342653e-07,5.451018156002446e-08,3.491214723926381e+41,0.2636869126832614,5859709.170739142,0.1858101588894959
1.4249999999999998,16.5,425762,0.01001,29360,0.00098,0.0,0.02798,0.78815,0.02205,0.0979020979020979,0.06895871402332758,9.26465824425008e+35,6.996947544936242e-07,2.3510787717081374e-08,8.689020408163266e+41,0.6562704235772859,14583787.190606354,0.462448858149618
1.4249999999999998,19.5,426040,0.00406,21396,0.00034,0.0,0.01903,0.74904,0.01426,0.08374384236453201,0.05022063655994742,1.6747793086379013e+36,1.2648435228743305e-06,9.529621631771665e-09,2.5061176470588233e+42,1.8928381020081746,42063068.93351499,1.3338111660805108
1.4249999999999998,23.0,571788,0.00226,15938,0.00013,0.0,0.01327,0.71209,0.00945,0.05752212389380531,0.027873967274584285,3.679283679283679e+36,2.778705293621085e-06,3.95251386877654e-09,8.796738461538462e+42,6.644062282128747,147645828.49174994,4.681818508743973
