w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
1.4249999999999998,2.25,17325,4.62835,230,0.05087,0.00015,1.81107,1.37731,1.39677,2.49441,2.52965,0.02485,0.0252,0.01804,0.01099095790076377,0.013275613275613276,7.295022107805376e+34,5.509419309572823e-08,0.0002671486291486292,6.8114802437586e+38,0.0005144622540603172,11432.494534673715,0.000362522023550029
1.4249999999999998,2.75,17286,1.98222,381,0.04306,9e-05,1.24241,1.31071,1.29729,1.62844,1.61177,0.01603,0.01587,0.01223,0.021723118523675474,0.022040958000694204,5.65374299052183e+34,4.269876135127128e-08,0.00011467198889274558,8.028797027403623e+38,0.0006064046093205152,13475.65798490034,0.000427310311545546
1.4249999999999998,3.25,17266,0.96232,513,0.03411,6e-05,0.90355,1.25573,1.21703,1.13462,1.09965,0.01115,0.01081,0.00888,0.035445589824590576,0.029711571875361983,4.9729873386384275e+34,3.7557490662626894e-08,5.573497046218e-05,1.0123717384931104e+39,0.0007646312224268204,16991.80494281823,0.000538806600165469
1.4249999999999998,3.75,17286,0.5011,648,0.02022,4e-05,0.67011,1.20923,1.15047,0.81032,0.77095,0.00799,0.0076,0.00661,0.04035122729994013,0.03748698368622006,6.116693076718833e+34,4.619509913691437e-08,2.898877704500752e-05,1.709792284866469e+39,0.0012913839009565473,28697.420021256607,0.0009099892193447681
1.4249999999999998,4.25,17291,0.28626,696,0.01112,3e-05,0.52589,1.16914,1.09409,0.61483,0.57536,0.00605,0.00566,0.00518,0.03884580451337944,0.04025215429992482,8.37395890096309e+34,6.324264708830972e-08,1.6555433462494942e-05,3.109892086330935e+39,0.0023488610923949656,52196.91316433257,0.0016551532586356092
1.4249999999999998,4.75,17351,0.17008,752,0.00868,2e-05,0.41551,1.13406,1.04552,0.47121,0.43442,0.00463,0.00427,0.00408,0.051034807149576665,0.043340441473113944,8.316661380735956e+34,6.280991904490563e-08,9.802316869344706e-06,3.997926267281106e+39,0.0030195817728709256,67101.81717490946,0.002127784664348981
1.4249999999999998,5.25,17508,0.10531,829,0.00561,2e-05,0.33219,1.10298,1.0031,0.3664,0.33322,0.00359,0.00326,0.00325,0.05327129427404805,0.04734978295636281,1.0246635375071026e+35,7.738566101556548e-08,6.014964587617089e-06,6.241711229946523e+39,0.0047142834063040205,104761.85347342269,0.0033219765814758587
1.4249999999999998,5.75,17535,0.06819,857,0.00371,1e-05,0.27429,1.07516,0.96562,0.2949,0.26486,0.00285,0.00256,0.00265,0.05440680451679132,0.04887368120901055,1.2465279015500707e+35,9.414152266068051e-08,3.888793840889649e-06,9.452830188679244e+39,0.007139599840392177,158657.77423093727,0.005031005017470106
1.4249999999999998,6.25,17210,0.04474,918,0.00258,1e-05,0.23023,1.05004,0.93219,0.24175,0.21462,0.00238,0.00211,0.00226,0.057666517657577104,0.05334108076699593,1.4346295984544224e+35,1.0834752650512969e-07,2.599651365485183e-06,1.334108527131783e+40,0.01007634839223401,223918.85316075577,0.007100420254970693
1.4249999999999998,6.75,17364,0.03049,954,0.00202,1e-05,0.19239,1.0272,0.90213,0.19762,0.17356,0.00194,0.00171,0.00189,0.06625122991144639,0.054941257774706286,1.5275841924846261e+35,1.1536773600820375e-07,1.7559318129463257e-06,1.719207920792079e+40,0.012984954084532317,288554.5352118293,0.00915000428753898
