w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
1.6749999999999998,6.5,143568,1.89351,9055,0.10765,2e-05,0.65468,1.03836,0.67979
1.6749999999999998,7.5,143289,0.96641,11178,0.06209,1e-05,0.48517,0.99647,0.48346
1.6749999999999998,8.5,143266,0.53495,13361,0.03945,1e-05,0.37451,0.96082,0.35984
1.6749999999999998,10.0,286437,0.50698,30226,0.0422,1e-05,0.2764,0.91596,0.25317
1.6749999999999998,12.0,286519,0.20474,30904,0.01917,0.0,0.18616,0.86759,0.16151
1.6749999999999998,14.0,286663,0.09429,29658,0.00835,0.0,0.13374,0.82833,0.11078
1.6749999999999998,16.5,429545,0.06247,36950,0.00469,0.0,0.09619,0.78815,0.07581
1.6749999999999998,19.5,430362,0.02619,27429,0.00153,0.0,0.06678,0.74904,0.05002
1.6749999999999998,23.0,574391,0.01498,22887,0.00061,0.0,0.04762,0.71209,0.03391
1.6749999999999998,27.5,717246,0.00743,10671,0.00014,0.0,0.03294,0.67395,0.0222
1.725,3.85,100752,16.3991,798,0.09067,8e-05,2.10081,1.20075,2.52255
1.725,4.6,114850,8.94238,2841,0.16713,5e-05,1.52466,1.14412,1.7444
1.725,5.5,143713,5.19546,6294,0.18007,3e-05,1.09122,1.0887,1.18801
1.725,6.5,143513,2.45195,9499,0.12732,2e-05,0.78316,1.03836,0.8132
1.725,7.5,143361,1.27178,11708,0.07758,2e-05,0.58769,0.99647,0.58562
1.725,8.5,143112,0.70591,13732,0.04902,1e-05,0.45459,0.96082,0.43678
1.725,10.0,287256,0.67829,30908,0.05312,1e-05,0.33788,0.91596,0.30949
1.725,12.0,287000,0.27689,31742,0.02315,0.0,0.22964,0.86759,0.19924
1.725,14.0,286858,0.12856,29866,0.01013,0.0,0.16611,0.82833,0.13759
1.725,16.5,430585,0.08626,37543,0.0057,0.0,0.12051,0.78815,0.09498
1.725,19.5,431323,0.03652,27847,0.00185,0.0,0.0843,0.74904,0.06314
1.725,23.0,573792,0.02103,23297,0.00073,0.0,0.06058,0.71209,0.04314
1.725,27.5,716580,0.01051,11156,0.00017,0.0,0.04215,0.67395,0.02841
1.775,3.85,100011,15.23056,823,0.0964,8e-05,1.84682,1.20075,2.21757
1.775,4.6,114092,8.29839,2973,0.18809,5e-05,1.33271,1.14412,1.52478
1.775,5.5,143493,4.84571,6439,0.20052,4e-05,0.9501,1.0887,1.03437
1.775,6.5,143135,2.28202,9756,0.14192,2e-05,0.67885,1.03836,0.70489
1.775,7.5,143750,1.19495,11968,0.08691,2e-05,0.51014,0.99647,0.50834
1.775,8.5,142889,0.66052,14032,0.0563,1e-05,0.39375,0.96082,0.37832
1.775,10.0,286588,0.63636,31414,0.06059,1e-05,0.29284,0.91596,0.26823
1.775,12.0,287775,0.26102,32196,0.02637,0.0,0.19841,0.86759,0.17214
1.775,14.0,287781,0.12133,30166,0.01146,0.0,0.14326,0.82833,0.11867
1.775,16.5,430583,0.08074,37724,0.00647,0.0,0.10317,0.78815,0.08132
1.775,19.5,429765,0.03399,28206,0.00215,0.0,0.07186,0.74904,0.05383
1.775,23.0,574293,0.01964,24060,0.00086,0.0,0.05147,0.71209,0.03665
1.775,27.5,717597,0.00979,11828,0.00019,0.0,0.0356,0.67395,0.024
1.825,3.85,100138,15.18503,838,0.10595,9e-05,1.7373,1.20075,2.08606
1.825,4.6,114935,8.37014,3285,0.22218,6e-05,1.25538,1.14412,1.43631
1.825,5.5,143393,4.91216,6938,0.22832,4e-05,0.9032,1.0887,0.98331
1.825,6.5,142680,2.32402,10097,0.15701,3e-05,0.64771,1.03836,0.67256
