w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.525,5.75,71605,0.00002,0.00008,0.00007,1.07516,0.96562,0.00007,0.00006,0.00000,0.00000,0.00000
1.525,6.25,71852,0.00001,0.00006,0.00006,1.05004,0.93219,0.00006,0.00005,0.00000,0.00000,0.00000
1.525,6.75,71509,0.00001,0.00004,0.00005,1.02720,0.90213,0.00005,0.00004,0.00000,0.00000,0.00000
1.525,7.25,71852,0.00001,0.00003,0.00004,1.00629,0.87489,0.00004,0.00004,0.00000,0.00000,0.00000
1.525,7.75,71708,0.00001,0.00002,0.00004,0.98704,0.85007,0.00004,0.00003,0.00000,0.00000,0.00000
1.525,8.25,71670,0.00001,0.00002,0.00003,0.96924,0.82732,0.00003,0.00003,0.00000,0.00000,0.00000
1.525,8.75,71596,0.00001,0.00001,0.00003,0.95270,0.80637,0.00003,0.00002,0.00000,0.00000,0.00000
1.525,9.25,72237,0.00000,0.00001,0.00003,0.93728,0.78699,0.00002,0.00002,0.00000,0.00000,0.00000
1.525,9.75,72074,0.00000,0.00001,0.00002,0.92284,0.76899,0.00002,0.00002,0.00000,0.00000,0.00000
1.525,10.25,71855,0.00000,0.00001,0.00002,0.90929,0.75221,0.00002,0.00002,0.00000,0.00000,0.00000
1.525,10.75,71731,0.00000,0.00000,0.00002,0.89652,0.73653,0.00002,0.00001,0.00000,0.00000,0.00000
1.5750000000000002,2.25,71663,0.00019,0.00486,0.00036,1.37731,1.39677,0.00049,0.00050,0.00000,0.00000,0.00000
1.5750000000000002,2.75,71696,0.00012,0.00220,0.00025,1.31071,1.29729,0.00033,0.00033,0.00000,0.00000,0.00000
1.5750000000000002,3.25,71961,0.00008,0.00112,0.00019,1.25573,1.21703,0.00024,0.00023,0.00000,0.00000,0.00000
1.5750000000000002,3.75,72149,0.00006,0.00061,0.00015,1.20923,1.15047,0.00018,0.00017,0.00000,0.00000,0.00000
1.5750000000000002,4.25,71508,0.00004,0.00035,0.00012,1.16914,1.09409,0.00014,0.00013,0.00000,0.00000,0.00000
1.5750000000000002,4.75,71557,0.00003,0.00022,0.00009,1.13406,1.04552,0.00011,0.00010,0.00000,0.00000,0.00000
1.5750000000000002,5.25,71917,0.00002,0.00014,0.00008,1.10298,1.00310,0.00009,0.00008,0.00000,0.00000,0.00000
1.5750000000000002,5.75,71963,0.00002,0.00009,0.00007,1.07516,0.96562,0.00007,0.00006,0.00000,0.00000,0.00000
1.5750000000000002,6.25,71281,0.00002,0.00006,0.00006,1.05004,0.93219,0.00006,0.00005,0.00000,0.00000,0.00000
1.5750000000000002,6.75,72055,0.00001,0.00004,0.00005,1.02720,0.90213,0.00005,0.00004,0.00000,0.00000,0.00000
1.5750000000000002,7.25,71755,0.00001,0.00003,0.00004,1.00629,0.87489,0.00004,0.00004,0.00000,0.00000,0.00000
1.5750000000000002,7.75,72103,0.00001,0.00002,0.00004,0.98704,0.85007,0.00004,0.00003,0.00000,0.00000,0.00000
1.5750000000000002,8.25,71752,0.00001,0.00002,0.00003,0.96924,0.82732,0.00003,0.00003,0.00000,0.00000,0.00000
1.5750000000000002,8.75,71789,0.00001,0.00001,0.00003,0.95270,0.80637,0.00003,0.00002,0.00000,0.00000,0.00000
1.5750000000000002,9.25,71887,0.00001,0.00001,0.00003,0.93728,0.78699,0.00002,0.00002,0.00000,0.00000,0.00000
