w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.525,6.25,17393,0.11813,1221,0.0089,1e-05,0.47952,1.05004,0.93219,0.50351,0.447,0.00481,0.00427,0.00458
1.525,6.75,17625,0.08207,1233,0.00621,1e-05,0.40555,1.0272,0.90213,0.41658,0.36586,0.00392,0.00345,0.00382
1.525,7.25,17603,0.05784,1210,0.00426,1e-05,0.34866,1.00629,0.87489,0.35085,0.30504,0.00333,0.0029,0.00331
1.525,7.75,17527,0.04105,1156,0.00271,1e-05,0.29941,0.98704,0.85007,0.29553,0.25452,0.0028,0.00241,0.00283
1.525,8.25,17399,0.03,1106,0.00188,1e-05,0.26293,0.96924,0.82732,0.25484,0.21753,0.00243,0.00207,0.0025
1.525,8.75,17506,0.02251,1051,0.00139,1e-05,0.23188,0.9527,0.80637,0.22091,0.18698,0.00209,0.00177,0.0022
1.525,9.25,17539,0.01698,964,0.00092,0.0,0.20472,0.93728,0.78699,0.19188,0.16111,0.00182,0.00153,0.00194
1.525,9.75,17609,0.01309,851,0.00062,0.0,0.18306,0.92284,0.76899,0.16893,0.14077,0.00159,0.00133,0.00172
1.525,10.25,17290,0.00994,733,0.00047,0.0,0.16369,0.90929,0.75221,0.14884,0.12313,0.00142,0.00117,0.00156
1.525,10.75,17694,0.00798,656,0.00031,0.0,0.14753,0.89652,0.73653,0.13227,0.10866,0.00125,0.00102,0.00139
1.5750000000000002,2.25,17399,11.32295,426,0.30359,0.00019,3.42481,1.37731,1.39677,4.71704,4.78368,0.04628,0.04694,0.0336
1.5750000000000002,2.75,17258,5.03556,677,0.22296,0.00012,2.41512,1.31071,1.29729,3.1655,3.13311,0.03113,0.03081,0.02375
1.5750000000000002,3.25,17289,2.49865,869,0.14202,8e-05,1.76774,1.25573,1.21703,2.2198,2.15139,0.02166,0.02099,0.01725
1.5750000000000002,3.75,17560,1.35369,1001,0.09072,6e-05,1.33095,1.20923,1.15047,1.60942,1.53122,0.01551,0.01476,0.01283
1.5750000000000002,4.25,17534,0.77752,1092,0.05401,4e-05,1.04316,1.16914,1.09409,1.2196,1.14131,0.01178,0.01103,0.01008
1.5750000000000002,4.75,17503,0.47882,1185,0.038,3e-05,0.85253,1.13406,1.04552,0.96682,0.89134,0.00932,0.00859,0.00822
1.5750000000000002,5.25,17328,0.29297,1282,0.02473,2e-05,0.68213,1.10298,1.0031,0.75237,0.68424,0.00726,0.0066,0.00658
1.5750000000000002,5.75,17366,0.193,1283,0.01637,2e-05,0.56939,1.07516,0.96562,0.61219,0.54982,0.00591,0.0053,0.00549
1.5750000000000002,6.25,17493,0.13015,1302,0.01122,2e-05,0.4762,1.05004,0.93219,0.50003,0.44391,0.0048,0.00426,0.00457
1.5750000000000002,6.75,17485,0.0899,1351,0.00777,1e-05,0.40532,1.0272,0.90213,0.41634,0.36565,0.00399,0.0035,0.00388
1.5750000000000002,7.25,17529,0.06365,1304,0.00519,1e-05,0.34826,1.00629,0.87489,0.35045,0.30469,0.00337,0.00293,0.00334
1.5750000000000002,7.75,17881,0.04634,1281,0.00341,1e-05,0.29904,0.98704,0.85007,0.29517,0.25421,0.00282,0.00243,0.00285
1.5750000000000002,8.25,17487,0.03337,1215,0.00255,1e-05,0.26238,0.96924,0.82732,0.25431,0.21707,0.00245,0.00209,0.00253
1.5750000000000002,8.75,17115,0.02421,1119,0.0017,1e-05,0.22966,0.9527,0.80637,0.21879,0.18519,0.00212,0.00179,0.00222
1.5750000000000002,9.25,17551,0.01877,1112,0.00134,1e-05,0.20347,0.93728,0.78699,0.19071,0.16013,0.00183,0.00153,0.00195
1.5750000000000002,9.75,17372,0.01417,916,0.00084,0.0,0.18046,0.92284,0.76899,0.16654,0.13877,0.0016,0.00133,0.00173
1.5750000000000002,10.25,17161,0.0109,758,0.00061,0.0,0.16233,0.90929,0.75221,0.14761,0.12211,0.00144,0.00119,0.00158
1.5750000000000002,10.75,17569,0.00867,654,0.00038,0.0,0.1447,0.89652,0.73653,0.12972,0.10657,0.00124,0.00102,0.00139
1.625,2.25,17461,13.54142,500,0.40816,0.0002,3.82486,1.37731,1.39677,5.26804,5.34245,0.0513,0.05203,0.03725
1.625,2.75,17348,5.99203,753,0.27479,0.00013,2.66457,1.31071,1.29729,3.49246,3.45672,0.03369,0.03334,0.0257
1.625,3.25,17558,3.0722,1039,0.20161,9e-05,1.98612,1.25573,1.21703,2.49402,2.41716,0.02389,0.02315,0.01902
1.625,3.75,17350,1.64279,1078,0.10932,6e-05,1.51172,1.20923,1.15047,1.82801,1.73919,0.01753,0.01668,0.0145
1.625,4.25,17344,0.93638,1220,0.07142,5e-05,1.17102,1.16914,1.09409,1.36908,1.28119,0.0131,0.01226,0.01121
1.625,4.75,17554,0.57591,1227,0.04417,3e-05,0.94032,1.13406,1.04552,1.06638,0.98312,0.01015,0.00935,0.00895
1.625,5.25,17511,0.36457,1426,0.03203,3e-05,0.77079,1.10298,1.0031,0.85016,0.77318,0.00813,0.00739,0.00737
1.625,5.75,17509,0.23689,1444,0.02089,2e-05,0.63485,1.07516,0.96562,0.68256,0.61302,0.00649,0.00583,0.00604
1.625,6.25,17479,0.15845,1479,0.01465,2e-05,0.53045,1.05004,0.93219,0.557,0.49448,0.00537,0.00477,0.00511
1.625,6.75,17512,0.10893,1438,0.00994,1e-05,0.44761,1.0272,0.90213,0.45979,0.4038,0.00439,0.00386,0.00428
1.625,7.25,17388,0.07686,1451,0.00677,1e-05,0.38641,1.00629,0.87489,0.38884,0.33806,0.00374,0.00325,0.00372
1.625,7.75,17519,0.05538,1319,0.00459,1e-05,0.33201,0.98704,0.85007,0.32771,0.28223,0.00314,0.00271,0.00319
1.625,8.25,17477,0.04034,1244,0.00299,1e-05,0.28848,0.96924,0.82732,0.2796,0.23866,0.0027,0.0023,0.00278
1.625,8.75,17540,0.0302,1168,0.00221,1e-05,0.25383,0.9527,0.80637,0.24183,0.20468,0.00233,0.00197,0.00245
1.625,9.25,17336,0.02231,1109,0.00161,1e-05,0.22204,0.93728,0.78699,0.20811,0.17474,0.002,0.00168,0.00214
1.625,9.75,17538,0.01721,934,0.00105,0.0,0.19672,0.92284,0.76899,0.18154,0.15127,0.00175,0.00146,0.0019
1.625,10.25,17661,0.01354,802,0.00077,0.0,0.17722,0.90929,0.75221,0.16114,0.1333,0.00155,0.00128,0.00171
1.625,10.75,17861,0.01064,747,0.00051,0.0,0.15788,0.89652,0.73653,0.14154,0.11628,0.00135,0.00111,0.00151
1.6749999999999998,2.25,17551,17.96267,554,0.54007,0.00021,4.7675,1.37731,1.39677,6.56634,6.6591,0.06318,0.06407,0.04587
1.6749999999999998,2.75,17577,8.13606,870,0.40368,0.00014,3.35393,1.31071,1.29729,4.39602,4.35103,0.0422,0.04177,0.03219
1.6749999999999998,3.25,17584,4.16295,1130,0.26062,9e-05,2.51303,1.25573,1.21703,3.15569,3.05843,0.03021,0.02928,0.02406
1.6749999999999998,3.75,17485,2.26256,1220,0.15278,7e-05,1.92513,1.20923,1.15047,2.32792,2.2148,0.0223,0.02121,0.01844
1.6749999999999998,4.25,17243,1.29921,1259,0.09206,5e-05,1.51832,1.16914,1.09409,1.77512,1.66117,0.01706,0.01597,0.01459
1.6749999999999998,4.75,17390,0.80228,1391,0.06132,4e-05,1.22529,1.13406,1.04552,1.38955,1.28106,0.01328,0.01225,0.01171
1.6749999999999998,5.25,17365,0.51406,1397,0.03921,3e-05,1.01332,1.10298,1.0031,1.11767,1.01646,0.01073,0.00976,0.00973
1.6749999999999998,5.75,17446,0.34161,1533,0.03004,2e-05,0.8478,1.07516,0.96562,0.91151,0.81865,0.00872,0.00783,0.00811
1.6749999999999998,6.25,17375,0.22887,1496,0.01861,2e-05,0.70995,1.05004,0.93219,0.74548,0.66181,0.00718,0.00637,0.00684
1.6749999999999998,6.75,17519,0.16062,1483,0.01329,2e-05,0.60666,1.0272,0.90213,0.62316,0.54729,0.00598,0.00525,0.00582
1.6749999999999998,7.25,17669,0.11542,1448,0.00925,1e-05,0.52428,1.00629,0.87489,0.52758,0.45869,0.00501,0.00436,0.00498
1.6749999999999998,7.75,17427,0.08254,1419,0.00607,1e-05,0.45614,0.98704,0.85007,0.45023,0.38775,0.00434,0.00374,0.0044
1.6749999999999998,8.25,17464,0.06091,1297,0.0042,1e-05,0.39918,0.96924,0.82732,0.3869,0.33025,0.00372,0.00317,0.00384
1.6749999999999998,8.75,17345,0.04536,1240,0.00299,1e-05,0.35266,0.9527,0.80637,0.33598,0.28438,0.00324,0.00274,0.0034
1.6749999999999998,9.25,17583,0.03449,1150,0.00195,1e-05,0.30912,0.93728,0.78699,0.28973,0.24327,0.00278,0.00233,0.00296
1.6749999999999998,9.75,17372,0.02634,921,0.00135,1e-05,0.27728,0.92284,0.76899,0.25589,0.21323,0.00248,0.00206,0.00268
1.6749999999999998,10.25,17466,0.02062,869,0.00102,0.0,0.2488,0.90929,0.75221,0.22623,0.18715,0.00218,0.0018,0.00239
1.6749999999999998,10.75,17605,0.01641,773,0.00062,0.0,0.225,0.89652,0.73653,0.20171,0.16572,0.00193,0.00159,0.00216
1.725,2.25,17765,22.33846,657,0.72623,0.00023,5.57072,1.37731,1.39677,7.67263,7.78101,0.07428,0.07533,0.05393
1.725,2.75,17513,10.10389,922,0.49926,0.00015,3.95353,1.31071,1.29729,5.18191,5.12888,0.05007,0.04955,0.0382
1.725,3.25,17417,5.14709,1168,0.31716,0.0001,2.95366,1.25573,1.21703,3.709,3.59469,0.03585,0.03475,0.02855
1.725,3.75,17623,2.89012,1320,0.19893,7e-05,2.28904,1.20923,1.15047,2.76797,2.63347,0.02657,0.02528,0.02197
1.725,4.25,17573,1.6977,1440,0.12952,5e-05,1.82089,1.16914,1.09409,2.12888,1.99222,0.0203,0.019,0.01736
1.725,4.75,17584,1.03635,1451,0.07564,4e-05,1.4603,1.13406,1.04552,1.65606,1.52676,0.01577,0.01454,0.0139
1.725,5.25,17652,0.66257,1548,0.0539,3e-05,1.19589,1.10298,1.0031,1.31904,1.1996,0.01257,0.01144,0.0114
1.725,5.75,17432,0.44373,1443,0.03284,2e-05,1.02377,1.07516,0.96562,1.10071,0.98857,0.0105,0.00943,0.00977
1.725,6.25,17285,0.29705,1562,0.02459,2e-05,0.85881,1.05004,0.93219,0.90178,0.80057,0.00863,0.00766,0.00822
1.725,6.75,17579,0.20937,1595,0.017,2e-05,0.72952,1.0272,0.90213,0.74936,0.65811,0.00712,0.00625,0.00693
1.725,7.25,17474,0.14843,1538,0.01136,1e-05,0.63012,1.00629,0.87489,0.63409,0.55129,0.00602,0.00523,0.00598
1.725,7.75,17543,0.11019,1370,0.00726,1e-05,0.55831,0.98704,0.85007,0.55108,0.4746,0.00526,0.00453,0.00533
1.725,8.25,17507,0.08042,1386,0.00523,1e-05,0.48457,0.96924,0.82732,0.46966,0.40089,0.00447,0.00381,0.00461
1.725,8.75,17692,0.0618,1240,0.00351,1e-05,0.43358,0.9527,0.80637,0.41307,0.34963,0.00388,0.00329,0.00408
