w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,cs_scaled
1.6749999999999998,3.85,100234,0.00007,13.02250,1.79549,1.20075,2.15593
1.6749999999999998,4.6,115051,0.00005,7.04469,1.28908,1.14412,1.47487
1.6749999999999998,5.5,143101,0.00003,4.01787,0.91468,1.08870,0.99581
1.6749999999999998,6.5,143568,0.00002,1.89351,0.65468,1.03836,0.67979
1.6749999999999998,7.5,143289,0.00001,0.96641,0.48517,0.99647,0.48346
1.6749999999999998,8.5,143266,0.00001,0.53495,0.37451,0.96082,0.35984
1.6749999999999998,10.0,286437,0.00001,0.50698,0.27640,0.91596,0.25317
1.6749999999999998,12.0,286519,0.00000,0.20474,0.18616,0.86759,0.16151
1.6749999999999998,14.0,286663,0.00000,0.09429,0.13374,0.82833,0.11078
1.6749999999999998,16.5,429545,0.00000,0.06247,0.09619,0.78815,0.07581
1.6749999999999998,19.5,430362,0.00000,0.02619,0.06678,0.74904,0.05002
1.6749999999999998,23.0,574391,0.00000,0.01498,0.04762,0.71209,0.03391
1.6749999999999998,27.5,717246,0.00000,0.00743,0.03294,0.67395,0.02220
1.725,2.2,57350,0.00026,81.02213,5.37041,1.38479,7.43688
1.725,2.7,86093,0.00017,57.76411,3.92942,1.31678,5.17417
1.725,3.25,71658,0.00011,22.95392,2.81616,1.25573,3.53634
1.725,3.85,100752,0.00008,16.39910,2.10081,1.20075,2.52255
1.725,4.6,114850,0.00005,8.94238,1.52466,1.14412,1.74440
1.725,5.5,143713,0.00003,5.19546,1.09122,1.08870,1.18801
1.725,6.5,143513,0.00002,2.45195,0.78316,1.03836,0.81320
1.725,7.5,143361,0.00002,1.27178,0.58769,0.99647,0.58562
1.725,8.5,143112,0.00001,0.70591,0.45459,0.96082,0.43678
1.725,10.0,287256,0.00001,0.67829,0.33788,0.91596,0.30949
1.725,12.0,287000,0.00000,0.27689,0.22964,0.86759,0.19924
1.725,14.0,286858,0.00000,0.12856,0.16611,0.82833,0.13759
1.725,16.5,430585,0.00000,0.08626,0.12051,0.78815,0.09498
1.725,19.5,431323,0.00000,0.03652,0.08430,0.74904,0.06314
1.725,23.0,573792,0.00000,0.02103,0.06058,0.71209,0.04314
1.725,27.5,716580,0.00000,0.01051,0.04215,0.67395,0.02841
1.775,2.2,57154,0.00028,74.16598,4.70328,1.38479,6.51305
1.775,2.7,86075,0.00018,53.26578,3.43600,1.31678,4.52444
